sample_index,true_label,predicted_label,confidence
23,9,5,0.9999174
25,4,6,0.5269778
32,3,1,0.6447372
42,3,6,0.7116548
49,2,6,0.8278799
67,3,4,0.6400313
68,9,7,0.99905664
98,4,2,0.95164806
103,2,6,0.69297713
107,9,7,0.8184297
141,0,6,0.63700354
147,6,3,0.8857759
150,4,3,0.82067305
244,6,2,0.96689665
248,2,6,0.57301354
250,9,7,0.6390507
266,3,4,0.5156728
271,3,6,0.9192876
316,9,7,0.98160905
324,4,6,0.96192825
325,6,2,0.8898707
332,0,6,0.54410106
361,2,6,0.93006545
378,4,3,0.6070658
381,0,6,0.89574033
382,2,0,0.92792356
392,9,7,0.84238017
396,4,6,0.9300686
407,6,0,0.51078194
410,0,6,0.50916594
413,2,6,0.54231
441,9,7,0.99779403
444,6,4,0.6279332
454,0,6,0.45450702
457,2,4,0.6780387
460,3,0,0.63269556
490,3,6,0.411494
491,4,6,0.91243756
510,4,2,0.955433
529,8,0,0.5978997
536,3,0,0.8416578
541,4,2,0.8803587
563,6,0,0.51952314
565,6,0,0.7126724
587,6,3,0.40544754
600,2,6,0.66371155
607,3,6,0.93405
623,9,7,0.56827956
628,6,0,0.73330617
630,9,7,0.7013863
635,8,2,0.295589
639,4,2,0.913832
659,4,2,0.6670815
670,2,6,0.8487927
688,3,6,0.6329187
701,1,3,0.51000845
711,6,3,0.7786736
722,5,7,0.80437034
732,2,0,0.96299565
736,0,6,0.5110301
753,3,2,0.31689137
760,2,6,0.6509192
787,1,3,0.99989295
801,4,2,0.5777068
805,4,2,0.671398
830,4,6,0.82562083
851,2,4,0.8464736
856,8,9,0.57319707
870,2,6,0.56276953
890,0,3,0.48764366
893,2,4,0.6633585
905,4,6,0.5821259
909,6,2,0.50372005
921,6,4,0.87604505
960,3,2,0.4347036
965,0,6,0.8954736
971,6,0,0.60903347
977,6,0,0.97479886
979,3,0,0.90912205
994,4,2,0.44846597
1000,0,6,0.6157695
1005,0,6,0.4976769
1025,6,4,0.8088098
1051,5,9,0.5832263
1055,4,6,0.8773195
1056,6,0,0.78776544
1111,0,3,0.9972933
1129,6,0,0.6971246
1131,6,4,0.96958077
1139,0,6,0.9574938
1142,4,6,0.53333765
1152,6,0,0.5026645
1162,6,4,0.79798573
1165,6,2,0.77702695
1185,4,6,0.49745882
1192,2,6,0.9007264
1197,6,4,0.97467256
1210,6,0,0.77825785
1218,0,3,0.9495638
1223,4,6,0.71836114
1224,7,9,0.7620761
1231,0,6,0.758683
1254,2,3,0.5177156
1259,2,6,0.6429997
1293,0,6,0.56410885
1297,4,2,0.761405
1300,8,5,0.99871874
1305,0,6,0.618361
1329,4,2,0.9631626
1336,3,6,0.5957326
1356,4,2,0.47519496
1387,2,6,0.8474107
1388,4,6,0.5836665
1396,6,0,0.510078
1399,0,2,0.57677144
1408,4,6,0.866694
1425,2,6,0.7540923
1449,2,4,0.80713046
1482,1,3,0.4800412
1501,5,7,0.9972619
1504,0,3,0.5961806
1509,2,0,0.84832233
1513,5,7,0.84924483
1522,9,7,0.89406043
1527,2,6,0.5602483
1533,2,6,0.904249
1559,6,0,0.53978455
1596,4,2,0.7258411
1617,5,7,0.6699608
1620,6,0,0.47109511
1632,9,7,0.8541324
1642,6,0,0.7862558
1643,6,4,0.9167009
1645,6,8,0.9949905
1650,6,0,0.74088717
1665,3,4,0.5635658
1686,0,6,0.5237073
1695,9,7,0.912035
1710,4,6,0.61189014
1712,6,0,0.77563125
1731,0,6,0.6044747
1743,2,4,0.9551016
1747,5,7,0.5189069
1771,6,0,0.976379
1810,3,4,0.82563156
1833,3,6,0.5074049
1852,3,4,0.32648733
1856,4,6,0.56652707
1867,0,6,0.6635506
1878,2,6,0.97229236
1917,4,6,0.7862609
1942,9,7,0.84805566
1943,6,0,0.7218898
1945,0,3,0.5794569
1953,5,7,0.96999425
1954,9,7,0.87184036
1957,2,4,0.4960476
1964,2,4,0.5490888
1968,3,6,0.6533272
1980,8,3,0.7117869
2001,2,4,0.7328985
2006,6,0,0.92763704
2009,6,0,0.8110884
2021,3,0,0.41293982
2022,7,9,0.87774795
2037,5,7,0.88910717
2042,4,6,0.501248
2057,3,0,0.47687575
2064,2,6,0.64955384
2067,4,2,0.82645035
2071,3,4,0.7555747
2144,4,6,0.56634283
2162,6,4,0.4860021
2189,4,6,0.62390554
2190,6,0,0.5659661
2191,6,0,0.72400296
2195,6,2,0.92359763
2245,3,6,0.3873477
2252,4,2,0.8228146
2272,2,6,0.75968367
2278,2,4,0.93157446
2298,6,0,0.51800764
2299,0,6,0.6175191
2309,3,6,0.712022
2311,6,0,0.35327268
2318,3,2,0.9974331
2326,6,2,0.7959272
2337,2,4,0.61631197
2352,6,2,0.6667194
2359,0,2,0.3622112
2396,1,3,0.6594491
2397,6,0,0.8173072
2431,6,0,0.6916507
2435,3,4,0.6724275
2457,8,7,0.9657159
2462,4,6,0.7666351
2464,6,0,0.77512217
2469,6,4,0.82683915
2476,8,3,0.46580115
2478,1,3,0.8938723
2485,6,0,0.7781254
2487,4,6,0.6190501
2498,6,3,0.6788443
2506,0,6,0.75985986
2507,3,4,0.94868076
2509,4,2,0.9859762
2527,9,7,0.92062926
2532,0,6,0.5468532
2540,6,4,0.8339686
2548,2,6,0.916407
2551,6,1,0.4778636
2559,9,7,0.74775636
2571,0,6,0.7308839
2580,6,0,0.9413932
2588,6,3,0.3919977
2589,0,6,0.5497098
2592,2,6,0.53674084
2593,2,6,0.9817701
2599,0,8,0.99957365
2603,6,2,0.56214535
2615,2,6,0.4380245
2617,4,6,0.75922924
2626,4,6,0.7562013
2629,6,0,0.4318912
2639,3,4,0.86808544
2653,0,6,0.5376905
2681,4,6,0.9705694
2684,4,6,0.748301
2685,3,6,0.48156926
2688,3,0,0.64705247
2713,0,6,0.636518
2717,0,6,0.46341163
2721,3,6,0.91335505
2733,2,6,0.6329719
2776,4,2,0.81436485
2779,4,3,0.75777
2817,3,6,0.7400459
2837,2,6,0.6209039
2839,6,0,0.8912391
2842,6,2,0.33609942
2843,6,2,0.50784725
2856,6,0,0.99712986
2865,6,4,0.6073837
2884,4,6,0.78960925
2897,0,8,0.556547
2898,3,4,0.8862942
2900,3,2,0.6223016
2903,9,7,0.5018487
2904,2,6,0.5829554
2905,8,1,0.49219567
2906,9,7,0.6230067
2909,0,6,0.60416967
2914,7,9,0.9999877
2919,4,6,0.9979754
2920,2,4,0.839909
2924,5,7,0.65538174
2935,9,7,0.880043
2942,6,2,0.8039488
2951,1,3,0.5106395
2953,0,2,0.7623346
2965,7,9,0.8721833
2985,6,2,0.96418774
2986,6,0,0.7051938
2999,2,6,0.51796573
3008,8,3,0.556985
3019,3,2,0.4502429
3038,0,8,0.65639955
3045,6,3,0.6488436
3051,3,0,0.5077185
3071,5,9,0.57859474
3074,0,6,0.7328891
3084,4,3,0.99943537
3106,3,4,0.52914226
3132,0,2,0.88743716
3167,3,0,0.47605824
3176,4,6,0.58179307
3188,6,2,0.952525
3198,6,2,0.42733842
3209,3,2,0.34051582
3215,5,7,0.8934673
3220,4,3,0.5686339
3229,4,6,0.6048009
3232,6,0,0.99681145
3240,2,6,0.9164396
3255,2,0,0.96340674
3262,6,4,0.89701176
3283,0,6,0.79866767
3284,2,6,0.7155739
3311,0,2,0.4878499
3327,6,0,0.5518804
3334,6,3,0.97562057
3338,6,4,0.8900308
3342,0,6,0.6897247
3370,2,4,0.9394808
3386,4,2,0.6640405
3393,6,4,0.8623196
3401,6,2,0.52858937
3416,6,0,0.78819513
3429,6,3,0.5496744
3450,2,4,0.5397042
3451,0,6,0.9718764
3457,2,3,0.94155943
3458,2,6,0.5300358
3466,0,5,0.82886434
3476,3,6,0.93237525
3488,6,0,0.7240735
3489,2,3,0.9805582
3491,6,2,0.5011505
3496,2,4,0.94390815
3499,3,4,0.49047598
3531,0,3,0.9995111
3532,2,6,0.86147124
3540,0,6,0.53444284
3553,2,0,0.7942998
3554,2,4,0.7230465
3568,4,6,0.88521904
3585,2,6,0.9515754
3609,0,2,0.5614558
3625,6,0,0.98073685
3626,4,3,0.74428487
3639,4,3,0.6102098
3669,6,4,0.95120883
3673,2,0,0.8356777
3674,9,7,0.61699414
3681,6,0,0.7178879
3706,3,6,0.54034126
3724,6,0,0.5287443
3730,4,3,0.7760377
3731,4,2,0.9256355
3741,6,8,0.9833365
3745,9,7,0.99701095
3787,6,2,0.94149286
3800,6,2,0.74039346
3804,4,3,0.7112931
3805,3,0,0.70863724
3808,6,0,0.66390383
3809,4,2,0.775025
3811,4,3,0.8840581
3816,2,4,0.5401982
3829,6,3,0.5823148
3830,6,3,0.984769
3861,6,4,0.5800083
3864,6,2,0.89181054
3871,2,4,0.6951784
3880,2,1,0.9935056
3896,9,7,0.9260536
3909,9,7,0.7815634
3938,0,6,0.79195184
3939,2,6,0.46922487
3940,3,6,0.551426
3953,0,6,0.29298672
3955,3,2,0.4543084
3961,4,2,0.52490157
3984,4,2,0.90123343
3987,6,4,0.95808464
3999,9,5,0.6593518
4019,6,4,0.43182215
4037,2,4,0.82715416
4040,5,7,0.86808354
4041,2,3,0.9672481
4056,3,2,0.49440506
4061,4,6,0.907237
4067,0,6,0.89632416
4079,6,4,0.66304433
4082,6,0,0.53764296
4084,3,6,0.53240514
4100,2,6,0.6236527
4104,2,4,0.34534332
4106,6,2,0.6269767
4109,6,0,0.6149374
4138,2,6,0.8877706
4140,6,0,0.56038564
4142,6,3,0.6952616
4143,0,6,0.5575102
4148,3,6,0.8268594
4152,6,4,0.4748757
4153,6,0,0.96064293
4166,4,2,0.9317041
4192,6,0,0.66582906
4194,6,0,0.47968543
4196,2,6,0.8660702
4213,0,6,0.7698718
4224,0,6,0.77028996
4231,6,0,0.8378642
4233,4,2,0.64895535
4251,4,0,0.6852758
4272,4,2,0.79621303
4280,6,0,0.99454135
4299,6,2,0.6923075
4307,4,3,0.8100898
4317,4,2,0.93020856
4333,4,2,0.5779792
4404,9,7,0.9672212
4405,5,7,0.9044916
4411,4,2,0.9524335
4422,4,2,0.45488757
4460,0,6,0.89728177
4462,3,1,0.5089599
4469,0,6,0.6641787
4496,3,0,0.4629717
4507,9,7,0.5498673
4511,9,7,0.6229109
4526,4,6,0.44766557
4539,0,3,0.53546107
4559,4,6,0.73132473
4568,9,7,0.95365113
4599,5,9,0.9950782
4605,0,6,0.5292524
4629,2,4,0.50877714
4639,4,6,0.60348755
4643,6,0,0.5845808
4664,3,6,0.708412
4665,0,6,0.49152353
4668,4,6,0.5968193
4672,6,2,0.8755735
4674,2,6,0.5930188
4685,2,6,0.81640065
4686,9,7,0.96747535
4693,7,9,0.9979042
4694,2,4,0.92925173
4711,0,2,0.817815
4727,6,0,0.9841471
4738,2,4,0.73885775
4746,9,7,0.9863273
4751,3,4,0.65475136
4758,6,0,0.47580174
4784,6,2,0.35071295
4789,4,2,0.696773
4803,6,0,0.98609376
4823,2,4,0.7561937
4828,2,6,0.8836972
4829,8,7,0.88032186
4846,2,4,0.49742407
4850,9,7,0.9978655
4880,4,2,0.6830883
4886,6,0,0.993731
4893,6,0,0.47116673
4907,4,3,0.34534442
4916,6,0,0.73965
4922,4,3,0.991076
4924,0,6,0.6558112
4934,3,2,0.93989277
4995,4,2,0.6174832
5006,6,3,0.99513113
5009,9,7,0.65319943
5026,2,6,0.5195148
5028,0,6,0.5635324
5032,0,6,0.6872967
5052,6,4,0.9956864
5065,6,8,0.93570924
5069,9,7,0.9447385
5070,4,3,0.54109204
5077,9,7,0.9797774
5082,5,9,0.6354395
5090,5,9,0.65791523
5101,9,7,0.6434345
5108,6,3,0.86955947
5123,6,8,0.9354083
5148,8,6,0.38283715
5155,6,2,0.9884221
5172,0,3,0.4208435
5186,6,0,0.8723931
5197,6,4,0.84151435
5204,3,6,0.98882955
5210,7,5,0.5506044
5248,6,3,0.95278597
5249,6,3,0.8957935
5255,4,2,0.98500174
5266,6,0,0.5388838
5284,2,6,0.74521273
5297,0,6,0.73165345
5316,7,9,0.99920696
5327,1,3,0.83491725
5334,0,3,0.9604628
5336,4,2,0.75850564
5338,0,8,0.5389579
5349,0,6,0.6016322
5381,4,2,0.9349672
5382,4,6,0.6055991
5397,4,6,0.616934
5415,4,2,0.736935
5424,6,3,0.61725736
5435,0,6,0.6652124
5441,4,2,0.5796234
5468,2,6,0.647118
5470,8,3,0.8112301
5471,2,6,0.9588542
5474,2,4,0.9765638
5476,9,7,0.9934708
5497,6,4,0.81840456
5504,6,0,0.5127432
5510,6,4,0.81299084
5511,4,6,0.6249841
5512,9,6,0.8829553
5520,7,9,0.9649599
5521,6,2,0.7782037
5522,6,0,0.91563064
5525,9,7,0.8505067
5533,1,3,0.7335802
5566,6,0,0.68530875
5569,6,4,0.517044
5576,3,4,0.9938352
5592,3,2,0.43682513
5594,6,2,0.8341875
5597,1,4,0.56042355
5601,0,6,0.64938337
5606,0,3,0.45075727
5610,3,2,0.77578205
5623,6,2,0.85741824
5654,6,0,0.9046303
5655,1,3,0.9814689
5661,4,2,0.9425
5672,0,6,0.7084665
5674,6,0,0.63844484
5695,6,0,0.98326564
5701,2,6,0.7303275
5713,2,0,0.3797572
5718,0,6,0.581185
5721,4,6,0.9208872
5806,6,0,0.999998
5820,2,6,0.6048739
5852,2,6,0.6691078
5853,2,6,0.6194139
5881,4,6,0.78720075
5899,5,9,0.694153
5918,3,4,0.7997945
5938,9,7,0.97129524
5939,0,6,0.65506554
5946,9,5,0.9050255
5966,0,8,0.5823688
5971,3,4,0.7487983
5974,2,4,0.95110065
5977,6,0,0.5469992
5981,4,2,0.6001236
5987,6,3,0.8629692
6008,6,0,0.5564605
6020,6,0,0.7456303
6023,6,0,0.52849424
6024,6,0,0.883419
6030,4,6,0.5162234
6094,0,6,0.53982484
6127,6,2,0.91477686
6147,5,7,0.9899781
6153,9,7,0.69401366
6159,6,0,0.54209584
6162,4,6,0.9641555
6169,6,0,0.6307964
6175,4,2,0.86100775
6184,2,6,0.75143486
6201,2,6,0.8078372
6207,3,4,0.79614705
6240,0,6,0.45859706
6248,6,3,0.9416871
6254,6,4,0.80267763
6258,6,0,0.88641316
6293,0,6,0.5832332
6331,1,8,0.9449972
6344,6,0,0.927929
6365,0,2,0.7246032
6379,6,4,0.8380927
6402,4,6,0.8470335
6405,4,2,0.6119172
6420,4,3,0.78198254
6433,3,6,0.9626372
6441,8,3,0.995937
6444,6,0,0.70255315
6464,4,3,0.81828344
6474,2,4,0.7181697
6478,4,2,0.43168107
6485,0,6,0.46905228
6513,4,2,0.8661219
6531,6,4,0.75925106
6539,6,4,0.6020846
6542,0,6,0.6301607
6558,6,0,0.7345541
6559,4,6,0.92330754
6564,2,4,0.7910583
6565,8,7,0.7585432
6584,3,4,0.9160094
6596,6,8,0.49001905
6614,3,6,0.5562364
6625,2,4,0.39713532
6626,6,4,0.8566785
6655,6,0,0.93082416
6688,0,6,0.7472233
6689,3,0,0.6613069
6701,7,9,0.5932638
6718,5,7,0.7125575
6721,2,6,0.5263045
6728,4,2,0.56032205
6733,9,7,0.92914695
6737,0,6,0.5190068
6746,5,7,0.9820703
6751,4,2,0.73655874
6797,6,3,0.3574737
6809,6,0,0.6102031
6826,2,0,0.5885504
6829,4,6,0.91496533
6832,6,3,0.6189793
6855,4,2,0.84000814
6859,4,2,0.80890185
6861,6,3,0.95743674
6866,2,6,0.8573556
6899,4,6,0.57214236
6908,4,6,0.6558267
6926,0,6,0.9454119
6928,6,4,0.5776314
6958,6,0,0.9746483
6970,4,2,0.6987938
6984,9,7,0.99805
6996,6,0,0.84920865
6997,3,6,0.41028062
7024,6,4,0.5576508
7026,6,4,0.5128509
7028,9,7,0.99519086
7049,2,4,0.70683646
7059,0,6,0.7219694
7068,4,2,0.9443081
7070,4,6,0.5227829
7073,2,8,0.50960785
7103,0,6,0.6795017
7112,6,0,0.5473072
7125,9,7,0.9821623
7130,6,4,0.9108337
7138,4,2,0.72307134
7167,6,2,0.8180117
7177,2,3,0.77712166
7182,6,0,0.7950634
7188,6,4,0.96312755
7189,6,0,0.8947672
7195,6,0,0.95104235
7210,4,2,0.41539314
7249,0,2,0.6249809
7258,6,4,0.92427945
7262,6,4,0.41743723
7278,4,6,0.5490474
7314,4,6,0.7428068
7319,2,6,0.8454654
7332,3,1,0.50133234
7334,6,0,0.7955377
7343,6,0,0.97432375
7369,2,0,0.59118485
7416,6,0,0.79059094
7442,2,4,0.8064862
7472,9,7,0.95269835
7545,4,6,0.56522155
7581,6,0,0.5892683
7584,5,9,0.68109655
7587,3,6,0.7443438
7591,6,0,0.55363667
7596,4,6,0.9740879
7599,0,6,0.7536338
7635,3,6,0.46582562
7660,6,0,0.82885313
7679,3,4,0.54525024
7683,4,2,0.5221915
7707,2,6,0.7800556
7719,6,0,0.46418992
7761,7,9,0.6275248
7769,3,4,0.5460454
7778,6,0,0.99440527
7798,5,7,0.9915535
7800,6,1,0.55726504
7809,3,2,0.4092952
7816,4,6,0.5801812
7818,0,2,0.5730725
7820,9,7,0.9225168
7829,6,0,0.6460142
7831,0,6,0.57424706
7924,6,0,0.94197375
7936,9,7,0.8105225
7948,3,2,0.97451484
7959,6,0,0.67412704
7971,6,4,0.5576318
7975,0,3,0.76321447
7976,2,4,0.94283396
7983,9,7,0.6643336
7986,4,3,0.51506543
7992,6,4,0.7774864
8005,6,3,0.67201513
8007,0,6,0.76381195
8031,0,6,0.8181613
8039,4,3,0.8195351
8051,2,6,0.61355144
8054,3,6,0.6021645
8059,0,6,0.8365362
8069,6,0,0.72276115
8074,1,3,0.50517195
8111,3,6,0.816964
8121,4,6,0.7945815
8128,0,6,0.5613986
8154,4,2,0.8192348
8156,1,6,0.6657935
8197,0,6,0.71725184
8202,6,4,0.87238914
8237,6,0,0.83411014
8259,3,0,0.6750525
8260,6,4,0.9432397
8292,5,7,0.9992167
8298,2,6,0.8387147
8324,0,2,0.43236262
8348,0,6,0.89199364
8373,6,2,0.5213628
8406,4,2,0.49349886
8417,2,4,0.5380212
8454,0,6,0.50599945
8463,5,7,0.56329304
8465,2,6,0.82903063
8485,4,6,0.7714627
8525,9,7,0.9924827
8532,5,7,0.9960716
8534,6,0,0.5261739
8538,6,0,0.6946444
8569,4,6,0.5825826
8580,4,6,0.62731606
8582,3,4,0.5255768
8592,6,0,0.5083507
8598,2,0,0.7907992
8607,9,7,0.90549517
8617,6,0,0.7314838
8618,2,6,0.34462106
8621,4,2,0.953555
8633,6,4,0.5426467
8634,0,3,0.6053476
8646,3,4,0.68446827
8658,6,3,0.5161364
8664,6,0,0.56974095
8669,2,0,0.831485
8688,9,5,0.86192614
8705,6,0,0.6404867
8706,6,2,0.9141066
8708,3,2,0.48800126
8710,2,4,0.37208417
8714,7,5,0.5126255
8717,0,6,0.44226
8725,0,6,0.75860476
8728,6,0,0.8518517
8745,6,0,0.97358173
8748,6,0,0.7020423
8757,1,3,0.8805658
8763,0,6,0.579897
8764,3,6,0.88101774
8768,1,6,0.78549874
8774,2,6,0.78706306
8784,6,4,0.70936865
8799,4,2,0.6566321
8804,4,2,0.8702218
8818,9,7,0.9894119
8832,0,6,0.99280554
8834,0,6,0.6068809
8858,4,6,0.5257575
8869,6,2,0.5931474
8877,2,0,0.63935125
8879,2,6,0.923077
8884,3,0,0.5038749
8906,6,0,0.5985452
8914,2,0,0.8463623
8919,0,2,0.97397083
8933,4,6,0.56163394
8952,9,7,0.9876872
8958,4,6,0.4852144
8997,6,0,0.6576993
9017,0,3,0.9904364
9032,6,2,0.707099
9061,0,6,0.8493181
9062,4,2,0.8569672
9074,0,6,0.78311414
9087,0,6,0.5141115
9094,6,0,0.6187471
9095,1,3,0.82230973
9114,0,6,0.7421241
9122,6,0,0.68440455
9126,5,7,0.58516896
9133,6,0,0.96256846
9140,6,0,0.5099432
9149,0,6,0.6650011
9154,2,6,0.8501159
9165,3,0,0.7401772
9177,4,2,0.521609
9197,7,9,0.8077608
9204,6,3,0.821974
9211,6,3,0.6815986
9218,6,2,0.6674523
9227,6,8,0.44481826
9230,9,7,0.5208542
9237,0,6,0.517945
9247,6,2,0.80903435
