class,precision,recall,f1_score,support
T-shirt/top,0.8644906033630069,0.874,0.8692192938836399,1000
Trouser,0.9909638554216867,0.987,0.9889779559118237,1000
Pullover,0.864423076923077,0.899,0.8813725490196078,1000
Dress,0.9133466135458167,0.917,0.9151696606786427,1000
Coat,0.8514664143803217,0.9,0.8750607681088964,1000
Sandal,0.9840319361277445,0.986,0.985014985014985,1000
Shirt,0.8057713651498335,0.726,0.7638085218306154,1000
Sneaker,0.965965965965966,0.965,0.9654827413706853,1000
Bag,0.9898887765419616,0.979,0.9844142785319256,1000
Ankle boot,0.97002997002997,0.971,0.9705147426286856,1000
