sample_index,true_label,predicted_label,confidence
12,7,5,0.58537865
17,4,2,0.6583204
21,5,7,0.5113433
23,9,5,0.9917732
25,4,2,0.49285704
40,6,0,0.64028037
42,3,6,0.5169158
48,2,6,0.51790035
49,2,6,0.58304435
51,4,2,0.66255826
66,2,3,0.35810804
67,3,4,0.6037954
68,9,7,0.99426407
89,6,2,0.6694315
103,2,6,0.51511484
107,9,7,0.44112772
136,2,6,0.6227928
141,0,6,0.52824104
147,6,3,0.7699276
150,4,3,0.6374212
153,4,3,0.52023786
163,9,5,0.96199906
166,4,2,0.5072759
193,6,2,0.48356077
227,2,6,0.6600083
239,4,2,0.9199664
241,6,4,0.5404081
244,6,2,0.7934488
247,4,2,0.5263643
255,2,4,0.48692676
283,3,4,0.4582858
285,6,4,0.470746
316,9,7,0.6586188
320,8,5,0.37726602
324,4,6,0.99968123
325,6,2,0.57800794
332,0,6,0.53267586
344,6,0,0.69548917
359,0,6,0.5836853
361,2,6,0.60030264
378,4,3,0.76698965
381,0,6,0.8515693
382,2,0,0.82575095
394,2,4,0.59565467
396,4,6,0.97808427
406,6,2,0.4455667
409,1,3,0.36371258
413,2,6,0.47372663
441,9,7,0.948013
444,6,4,0.6249384
454,0,2,0.48376858
457,2,4,0.8313024
460,3,0,0.75872505
474,6,0,0.6718552
477,9,5,0.72355425
490,3,6,0.42749143
526,4,2,0.49581397
529,8,0,0.83480185
531,0,5,0.6700472
548,6,4,0.59837025
563,6,0,0.61482865
565,6,0,0.88816255
569,3,0,0.3513244
572,6,0,0.5280093
577,0,6,0.5138068
586,6,0,0.80112875
595,6,2,0.6740866
632,2,1,0.57971424
634,6,4,0.49750665
635,8,2,0.31134573
639,4,2,0.6768575
663,1,3,0.77035403
664,6,2,0.55009395
669,8,0,0.9058054
670,2,6,0.46238205
688,3,6,0.50583214
689,4,2,0.48184714
697,8,6,0.45752493
699,3,0,0.52078027
701,1,3,0.542233
711,6,0,0.4881899
722,5,7,0.979002
725,6,4,0.78369457
732,2,0,0.97516906
753,3,0,0.5831013
760,2,6,0.43881795
