class,precision,recall,f1_score,support
T-shirt/top,0.7963470319634703,0.872,0.8324582338902148,1000
Trouser,0.9817997977755308,0.971,0.9763700351935646,1000
Pullover,0.7924345295829291,0.817,0.8045297882816347,1000
Dress,0.9052523171987642,0.879,0.8919330289193302,1000
Coat,0.8048289738430584,0.8,0.802407221664995,1000
Sandal,0.9658634538152611,0.962,0.9639278557114228,1000
Shirt,0.7328159645232816,0.661,0.6950578338590957,1000
Sneaker,0.933589990375361,0.97,0.9514467876410004,1000
Bag,0.9585389930898321,0.971,0.964729259811227,1000
Ankle boot,0.9731958762886598,0.944,0.9583756345177665,1000
