sample_index,true_label,predicted_label,confidence
4,6,0,0.5189461
17,4,6,0.26629123
20,2,4,0.3663863
25,4,6,0.63612133
40,6,0,0.8347932
42,3,0,0.872626
43,7,9,0.9813942
44,6,4,0.6849997
49,2,4,0.700864
54,2,4,0.603308
57,4,6,0.88306
66,2,6,0.61784446
98,4,2,0.57043934
119,8,2,0.4238793
125,0,6,0.5306953
129,5,7,0.54887515
135,6,2,0.49744606
147,6,3,0.9701582
150,4,0,0.4995863
160,7,5,0.5240989
170,0,6,0.6606679
172,2,4,0.4094087
193,6,4,0.83336276
204,2,0,0.7143351
217,6,4,0.8295568
244,6,2,0.88848525
245,8,9,0.5940456
246,6,4,0.48447892
247,4,6,0.4776739
252,6,0,0.7559419
279,4,2,0.6067981
290,5,9,0.872772
306,2,4,0.6527578
308,7,5,0.8435909
309,7,9,0.61980426
312,6,8,0.59048784
316,9,7,0.4979257
337,2,8,0.3623283
341,0,3,0.49923673
354,6,0,0.89865774
378,4,3,0.910438
382,2,0,0.8627099
406,6,4,0.5086023
407,6,0,0.44469467
425,4,6,0.6236487
437,6,4,0.7189318
441,9,7,0.5450949
444,6,4,0.6863319
454,0,6,0.55875385
457,2,4,0.90090716
468,2,6,0.35593647
473,7,9,0.7611196
474,6,0,0.9671398
476,4,3,0.6985754
478,2,4,0.6794366
480,5,7,0.65092397
490,3,6,0.70910305
511,2,4,0.3413036
527,2,0,0.2788402
529,8,4,0.6331316
530,2,0,0.61592513
561,6,0,0.72952795
562,6,4,0.41165543
563,6,3,0.34724262
565,6,0,0.89205456
569,3,6,0.64969534
573,7,9,0.6660223
581,6,0,0.69344974
586,6,0,0.37800884
587,6,0,0.74463063
602,7,5,0.72534674
607,3,6,0.6153301
612,6,3,0.31434873
628,6,8,0.639112
634,6,4,0.94476634
635,8,3,0.5756648
655,6,2,0.59214336
664,6,2,0.66828394
670,2,0,0.6551202
674,0,3,0.89953524
686,2,4,0.6895174
688,3,8,0.41128728
711,6,3,0.6444043
716,6,4,0.5329457
722,5,7,0.8747183
726,6,4,0.60701287
732,2,0,0.91915816
736,0,6,0.4779162
743,1,0,0.57444996
753,3,6,0.4876005
758,6,4,0.5873677
760,2,6,0.47387922
764,0,1,0.4211101
765,6,0,0.5314946
768,8,0,0.5748015
787,1,3,0.9666471
788,7,9,0.9049098
793,6,4,0.62818724
800,7,9,0.920879
801,4,6,0.32635304
815,4,2,0.58529407
817,2,4,0.68110204
830,4,6,0.76565236
834,7,9,0.86929417
837,6,0,0.7011159
890,0,3,0.80608267
893,2,4,0.5988095
894,0,2,0.63795483
904,6,2,0.64029306
921,6,4,0.9901316
930,0,4,0.35702127
933,4,6,0.5537479
938,6,2,0.58299184
939,4,3,0.8321825
958,5,9,0.41594136
960,3,0,0.48696482
965,0,6,0.5596015
966,6,0,0.7578629
968,6,0,0.7501692
971,6,0,0.81698036
976,2,6,0.9065092
977,6,0,0.96024585
979,3,0,0.80579734
984,3,4,0.45190892
993,5,7,0.7116427
994,4,6,0.3630052
1000,0,6,0.91190565
1005,0,6,0.46819913
1008,6,2,0.43076903
1025,6,2,0.56618553
1026,4,6,0.53918886
1043,3,0,0.522705
1056,6,0,0.61261326
1058,6,4,0.7917912
1064,4,3,0.7403309
1065,4,6,0.47084936
1078,7,5,0.75313175
1101,4,6,0.47315225
1111,0,3,0.93421054
1125,4,0,0.26879463
1129,6,0,0.6654921
1131,6,4,0.79523116
1142,4,6,0.54199976
1152,6,0,0.97309023
1160,4,3,0.9344788
1162,6,4,0.76866657
1165,6,4,0.3469759
1174,6,2,0.5085761
1183,1,3,0.6586263
1186,6,3,0.39475
1188,6,0,0.6694874
1191,2,4,0.63736457
1194,2,6,0.42710418
1196,7,9,0.8907818
1210,6,0,0.5739674
1213,2,0,0.8586198
1220,3,0,0.5066562
1224,7,9,0.869821
1231,0,6,0.6285372
1232,3,1,0.69846916
1234,4,2,0.51953995
1241,6,4,0.41235498
1249,0,4,0.36246598
1254,2,3,0.5665933
1262,4,3,0.5141175
1277,6,0,0.70369416
1279,2,4,0.5025164
1286,8,4,0.38361877
1300,8,3,0.6854587
1306,6,4,0.82645994
1315,2,4,0.79049486
1320,6,4,0.7475341
1323,7,9,0.714691
1326,3,6,0.8764427
1334,4,3,0.58119154
1336,3,1,0.43086287
1339,2,6,0.5824875
1352,6,2,0.3914579
1353,2,4,0.7712881
1358,0,3,0.495312
1369,6,4,0.74611115
1387,2,6,0.75380856
1388,4,6,0.48913988
1390,3,0,0.52424204
1396,6,0,0.37848637
1408,4,6,0.95074266
1430,7,9,0.7338473
1437,6,4,0.5493072
1446,3,0,0.65158445
1449,2,4,0.9726351
1455,8,4,0.555144
1458,6,0,0.63281
1462,4,5,0.32577458
1469,6,4,0.63705
1471,9,5,0.81898564
1482,1,3,0.6064324
1487,6,4,0.88553524
1490,6,4,0.40789714
1502,6,2,0.47204703
1504,0,3,0.6197216
1509,2,0,0.908984
1515,6,2,0.6235961
1522,9,7,0.95170504
1527,2,0,0.7105911
1533,2,6,0.528406
1539,2,4,0.46569785
1557,8,3,0.3604795
1559,6,0,0.9632356
1572,0,6,0.8334149
1586,0,3,0.37847707
1587,4,6,0.3304188
1588,2,6,0.5712708
1592,1,3,0.701484
1596,4,6,0.40136945
1597,5,7,0.7656499
1609,7,9,0.82074565
1624,2,0,0.5710753
1626,2,4,0.8217366
1640,2,4,0.5893976
1642,6,1,0.49025247
1643,6,4,0.9279651
1645,6,8,0.9046353
1648,0,6,0.5254715
1655,2,4,0.6538362
1665,3,4,0.9805736
1684,3,6,0.6009185
1691,3,0,0.50544024
1699,3,6,0.41037628
1706,6,0,0.7251995
1712,6,0,0.78252774
1719,4,3,0.78106564
1726,2,4,0.6818779
1732,2,4,0.85319656
1740,6,0,0.7768357
1743,2,4,0.8339639
1746,6,0,0.52479976
1747,5,7,0.93368554
1754,6,3,0.91258407
1755,6,0,0.6846982
1763,2,6,0.6999303
1771,6,0,0.8817616
1772,7,5,0.54467
1780,7,9,0.75630283
1785,7,5,0.5124534
1787,3,4,0.51891875
1805,9,5,0.58462757
1841,3,6,0.39831206
1842,0,6,0.91433465
1846,8,9,0.4406462
1851,2,3,0.3222254
1852,3,6,0.60689986
1867,0,6,0.9010171
1878,2,0,0.46293873
1928,2,4,0.731562
1930,3,0,0.67774874
1937,7,9,0.9070257
1943,6,0,0.9422714
1945,0,3,0.6366657
1953,5,7,0.9889609
1964,2,4,0.8446231
1968,3,0,0.85501623
1974,6,0,0.90392506
1980,8,3,0.46989363
1988,7,9,0.9300881
1989,0,6,0.62537223
2001,2,3,0.6104451
2006,6,3,0.45370027
2009,6,0,0.68013567
2016,6,4,0.8443332
2022,7,9,0.8861587
2037,5,7,0.80704993
2039,2,4,0.8819578
2042,4,6,0.7107738
2062,4,3,0.6297345
2063,2,4,0.63244593
2064,2,0,0.40024993
2070,7,9,0.50265366
2071,3,4,0.76491284
2089,6,0,0.9468573
2091,8,6,0.75494605
2097,2,6,0.327567
2106,2,0,0.6077749
2109,2,4,0.54019016
2123,4,6,0.90293825
2131,2,8,0.42493957
2137,6,4,0.46094328
2142,7,5,0.5842735
2143,7,5,0.6592045
2144,4,6,0.7673781
2148,3,6,0.49391407
2162,6,4,0.6836642
2175,3,0,0.58856326
2185,3,0,0.76745343
2189,4,6,0.8924354
2190,6,0,0.55942184
2191,6,0,0.888271
2195,6,2,0.7962072
2202,4,2,0.43124115
2219,5,9,0.77008885
2239,8,1,0.56279725
2247,6,0,0.5484199
2252,4,2,0.35932323
2272,2,4,0.5071675
2278,2,4,0.8899996
2290,6,0,0.7790953
2293,2,4,0.76862985
2298,6,0,0.50433797
2300,6,4,0.7667046
2308,0,6,0.45276827
2309,3,6,0.70246917
2311,6,3,0.5679781
