class,precision,recall,f1_score,support
T-shirt/top,0.708502024291498,0.875,0.7829977628635347,1000
Trouser,0.9806714140386572,0.964,0.9722642460917801,1000
Pullover,0.8466898954703833,0.729,0.7834497581945191,1000
Dress,0.8259587020648967,0.84,0.8329201784828953,1000
Coat,0.727112676056338,0.826,0.7734082397003745,1000
Sandal,0.9493041749502982,0.955,0.9521435692921236,1000
Shirt,0.6620253164556962,0.523,0.5843575418994413,1000
Sneaker,0.9522776572668112,0.878,0.9136316337148803,1000
Bag,0.9723076923076923,0.948,0.96,1000
Ankle boot,0.906046511627907,0.974,0.9387951807228916,1000
