sample_index,true_label,predicted_label,confidence
15,1,3,0.6502885
17,4,6,0.3051344
20,2,6,0.41442305
21,5,7,0.55102324
25,4,6,0.65262574
27,0,6,0.47695196
40,6,0,0.6672942
42,3,0,0.77275264
43,7,9,0.97543496
44,6,4,0.6371255
49,2,4,0.6134071
54,2,4,0.5501437
57,4,6,0.86687815
66,2,6,0.60455894
68,9,7,0.5782596
98,4,2,0.69101083
103,2,6,0.4354087
119,8,2,0.43753207
125,0,6,0.71680397
129,5,7,0.58921
135,6,2,0.5589703
147,6,3,0.9880113
150,4,6,0.32368115
155,0,6,0.3903919
170,0,6,0.77311546
177,0,6,0.52237165
193,6,4,0.71316254
204,2,0,0.43687642
217,6,4,0.75814646
244,6,2,0.877183
245,8,9,0.65142924
247,4,2,0.4354665
252,6,0,0.56817615
261,4,6,0.32904336
279,4,2,0.73390543
290,5,9,0.8560948
306,2,4,0.6382281
308,7,5,0.6763573
309,7,9,0.6466146
312,6,8,0.43471628
332,0,3,0.32326302
341,0,3,0.6469084
354,6,0,0.7586018
378,4,3,0.94403124
382,2,0,0.7251048
406,6,4,0.47201052
413,2,6,0.3961369
425,4,6,0.7121774
437,6,4,0.5958777
441,9,7,0.50990945
444,6,4,0.5728564
445,5,9,0.5356468
454,0,6,0.6007814
457,2,4,0.7977983
468,2,6,0.43584356
473,7,9,0.6914285
474,6,0,0.890708
476,4,3,0.7349317
478,2,4,0.60108924
480,5,7,0.8035687
488,0,6,0.681024
490,3,6,0.80092573
529,8,4,0.4694454
552,5,7,0.50503004
561,6,0,0.46360916
563,6,3,0.50519645
565,6,0,0.6783868
569,3,6,0.6933056
573,7,9,0.6778875
586,6,3,0.59254056
587,6,0,0.5215501
594,4,3,0.70032424
602,7,5,0.64893377
607,3,6,0.7633055
612,6,3,0.44497824
616,0,3,0.41216427
628,6,8,0.6317892
634,6,4,0.89842457
635,8,3,0.76135653
639,4,2,0.34584242
655,6,2,0.62102115
664,6,2,0.70777595
670,2,6,0.50830716
674,0,3,0.9278206
686,2,4,0.6344376
688,3,8,0.50009656
711,6,3,0.709062
716,6,4,0.4664858
722,5,7,0.88708615
726,6,4,0.5298815
732,2,0,0.79428446
736,0,6,0.7277792
743,1,2,0.37487692
753,3,6,0.57630044
760,2,6,0.56122714
764,0,1,0.445833
768,8,0,0.40488556
787,1,3,0.95347345
788,7,9,0.9004928
793,6,4,0.5006081
800,7,9,0.91324854
801,4,6,0.4295913
815,4,2,0.64012617
817,2,4,0.5221539
830,4,6,0.7966671
834,7,9,0.80629253
837,6,0,0.43571398
890,0,3,0.95156413
893,2,4,0.4466462
894,0,2,0.7565976
898,5,9,0.39416432
904,6,2,0.6837834
905,4,6,0.39390212
910,0,6,0.5821401
921,6,4,0.9761673
930,0,6,0.43187416
933,4,6,0.5855888
938,6,2,0.5941469
939,4,3,0.8684369
954,0,6,0.5336949
958,5,7,0.44667345
960,3,2,0.5083449
965,0,6,0.6023066
966,6,0,0.5138736
967,4,3,0.50278485
968,6,0,0.42286125
971,6,0,0.6029504
976,2,6,0.93588203
977,6,0,0.9020327
979,3,0,0.59740627
984,3,4,0.3259937
993,5,7,0.77669436
994,4,6,0.37781128
1000,0,6,0.92987716
1002,5,9,0.5307298
1005,0,6,0.6437957
1008,6,2,0.49741372
1025,6,2,0.69988084
1026,4,6,0.62573284
1058,6,4,0.73327905
1064,4,3,0.8397317
1065,4,6,0.6493557
1092,5,9,0.4947219
1101,4,6,0.4957904
1111,0,3,0.9523364
1124,0,6,0.54291654
1125,4,3,0.30395052
1129,6,0,0.41830227
1131,6,4,0.7142047
1139,0,6,0.6301923
1142,4,6,0.60112774
1152,6,0,0.9042241
1160,4,3,0.9726068
1162,6,4,0.60103667
1174,6,2,0.54611486
1183,1,3,0.7614134
1186,6,3,0.49787226
1191,2,4,0.525131
1194,2,6,0.5508289
1196,7,9,0.8198495
1205,0,2,0.38797915
1210,6,3,0.49717122
1213,2,0,0.65908587
1224,7,9,0.8051104
1231,0,6,0.66298974
1232,3,1,0.5780042
1234,4,2,0.6794135
1241,6,4,0.33806106
1249,0,6,0.39041406
1254,2,3,0.5481201
1262,4,3,0.64134026
1277,6,3,0.4777297
1286,8,4,0.38881692
1297,4,2,0.4659293
1300,8,3,0.7989342
1306,6,4,0.79480314
1315,2,4,0.7149509
1320,6,4,0.6416943
1323,7,9,0.69173247
1326,3,6,0.8915807
1334,4,3,0.6811354
1339,2,6,0.63617265
1352,6,2,0.45829892
1353,2,4,0.70389605
1358,0,3,0.7177921
1369,6,4,0.61484224
1371,0,3,0.48053646
1387,2,6,0.69806033
1388,4,6,0.5672848
1396,6,3,0.5091319
1408,4,6,0.9615837
1449,2,4,0.9355465
1455,8,4,0.5347253
1458,6,3,0.5521246
1462,4,5,0.39698908
1469,6,4,0.56201136
1471,9,5,0.5929601
1482,1,3,0.6579046
1483,0,3,0.51758814
1487,6,4,0.8482596
1501,5,7,0.67302495
1502,6,2,0.5207572
1504,0,3,0.7674576
1509,2,0,0.7750584
1513,5,7,0.5077445
1515,6,2,0.634339
1522,9,7,0.9421426
1527,2,0,0.44024342
1533,2,6,0.61085516
1539,2,4,0.3108041
1557,8,3,0.43789774
1559,6,0,0.874783
1572,0,6,0.90636986
1586,0,3,0.4511724
1587,4,6,0.36302337
1588,2,6,0.58775073
1592,1,3,0.822084
1593,4,2,0.47441328
1596,4,6,0.47928914
1597,5,7,0.6825195
1609,7,9,0.79138416
1626,2,4,0.7299475
1640,2,4,0.49413216
1642,6,1,0.5904424
1643,6,4,0.8828925
1644,4,6,0.4899315
1645,6,8,0.8728732
1648,0,6,0.7143214
1655,2,4,0.5524466
1662,4,6,0.48946935
1665,3,4,0.95773745
1684,3,6,0.59958166
1686,0,6,0.48652896
1694,8,2,0.4026344
1699,3,6,0.33743852
1706,6,0,0.47915462
1707,0,6,0.44259816
1710,4,6,0.4814567
1712,6,0,0.47306216
1719,4,3,0.8591159
1721,0,6,0.5642365
1726,2,4,0.49313703
1732,2,4,0.78204054
1740,6,0,0.5612254
1743,2,4,0.71924406
1747,5,7,0.9669483
1754,6,3,0.94864064
1763,2,6,0.74889755
1771,6,0,0.7045096
1777,0,6,0.53570926
1780,7,9,0.73861384
1803,4,6,0.6028092
1805,9,5,0.5192675
1814,4,3,0.56797117
1841,3,6,0.4296044
1842,0,6,0.96948504
1852,3,6,0.72261417
1856,4,6,0.3922858
1867,0,6,0.93431574
1879,4,6,0.41253942
1890,0,6,0.8331789
1895,4,6,0.38328835
1928,2,4,0.6494323
1937,7,9,0.8727615
1943,6,0,0.85162824
1945,0,3,0.846591
1948,0,2,0.4328934
1953,5,7,0.9894182
1964,2,4,0.7376557
1968,3,0,0.60595524
1974,6,0,0.7926597
1980,8,3,0.5507402
1988,7,9,0.93090683
1989,0,6,0.7274674
2001,2,3,0.69378287
2006,6,3,0.6524794
2009,6,0,0.522766
2016,6,4,0.73785865
2022,7,9,0.8572781
2037,5,7,0.82298774
2039,2,4,0.7438128
2042,4,6,0.7135156
2062,4,3,0.726746
2064,2,6,0.46494302
2071,3,4,0.7074223
2086,4,2,0.41061136
2089,6,0,0.8393096
2091,8,6,0.7281551
2097,2,6,0.42925397
2106,2,0,0.2882333
2123,4,6,0.9134358
2131,2,6,0.4294337
2143,7,5,0.49242514
2144,4,6,0.8382696
2146,7,9,0.55141336
2149,0,6,0.5385273
2162,6,4,0.5630922
2165,0,6,0.6293649
2185,3,0,0.5209832
2189,4,6,0.93280613
2191,6,0,0.6808631
2195,6,2,0.85215145
2202,4,2,0.49958032
2211,0,3,0.46514294
2219,5,9,0.82457554
2236,0,4,0.29489544
2239,8,1,0.5123393
2249,0,6,0.4532416
2252,4,6,0.42669097
2254,1,3,0.6405371
2272,2,6,0.5508652
2278,2,4,0.8545278
2290,6,0,0.55756044
2293,2,4,0.72058165
2300,6,4,0.7012812
2308,0,6,0.6256516
2309,3,6,0.7109514
2311,6,3,0.7927895
2318,3,2,0.87082386
2319,6,0,0.51437205
2355,0,3,0.5874463
2382,2,6,0.4034627
2396,1,3,0.79775137
2397,6,3,0.68128926
2425,6,4,0.90346426
2428,4,6,0.47704595
2451,6,0,0.8336542
2457,8,7,0.7388296
2462,4,2,0.38427106
2469,6,4,0.6820259
2476,8,4,0.74034667
2478,1,3,0.79257137
2479,0,6,0.5439343
2485,6,0,0.7100083
2487,4,6,0.73443085
2491,6,2,0.8147071
2498,6,3,0.8427733
2500,6,4,0.6324909
2506,0,6,0.81881154
2507,3,4,0.8249881
2509,4,2,0.60613656
2527,9,7,0.7035625
2539,4,3,0.8336325
2540,6,4,0.7446508
2548,2,6,0.8795963
2551,6,4,0.8164341
2565,7,9,0.6544954
2569,4,3,0.70432514
2571,0,6,0.4974239
2580,6,0,0.9229211
2588,6,2,0.64366937
2589,0,4,0.47607866
2593,2,6,0.63634026
2595,7,9,0.6354679
2599,0,8,0.68394774
2615,2,6,0.5278475
2617,4,6,0.55183333
2619,4,6,0.5312851
2621,8,6,0.7033217
2626,4,6,0.5629655
2628,0,6,0.60528976
2629,6,3,0.69397527
2641,0,6,0.5615023
2652,0,2,0.52841216
2653,0,6,0.61302143
2655,6,2,0.4505383
2659,8,6,0.42228356
2661,6,2,0.9662426
2666,3,0,0.54597217
2668,4,3,0.5382502
2671,4,2,0.79019046
2684,4,6,0.79549074
2685,3,6,0.62407386
2690,4,3,0.6459741
2713,0,6,0.7151678
2717,0,6,0.59419376
2721,3,0,0.4767423
2737,4,6,0.9312798
2741,1,0,0.5686507
2754,6,4,0.43936837
2759,0,8,0.6108554
2764,0,3,0.6824797
2772,7,9,0.70008004
2776,4,6,0.82887083
2778,2,4,0.414386
2781,6,3,0.5275712
2791,4,3,0.39224243
2798,4,3,0.51738364
2811,7,9,0.8974612
2814,3,2,0.6734589
2817,3,6,0.6931043
2824,3,4,0.37096143
2832,0,3,0.44311172
2837,2,0,0.5496653
2839,6,0,0.73984295
2843,6,2,0.48357987
2856,6,0,0.85115784
2862,7,9,0.49222884
2878,0,2,0.5075221
2885,2,4,0.6961532
2894,2,4,0.8074691
2898,3,4,0.6481856
2901,4,2,0.45274827
2905,8,3,0.9424155
2906,9,7,0.8858454
2914,7,9,0.99928564
2918,3,4,0.4355108
2920,2,6,0.7428769
2924,5,7,0.62813485
2926,2,4,0.5358822
2942,6,2,0.55099034
2951,1,3,0.70987016
2953,0,2,0.9568197
2956,2,4,0.7253013
2960,2,4,0.44442075
2971,8,6,0.30289426
2973,3,2,0.70891374
2981,8,3,0.4417329
2985,6,2,0.9213481
2986,6,0,0.791909
2996,7,9,0.8000159
2997,0,3,0.5037448
2999,2,6,0.81602633
3001,4,2,0.42407477
3008,8,0,0.54139155
3019,3,2,0.8408417
