sample_index,true_label,predicted_label,confidence
16,2,6,0.46877548
17,4,0,0.6457385
21,5,7,0.9213498
23,9,5,0.62238276
25,4,6,0.90874916
29,3,6,0.42528272
40,6,0,0.673939
44,6,4,0.49584684
48,2,6,0.29132792
49,2,6,0.69454926
50,4,6,0.60640675
66,2,4,0.46230686
68,9,7,0.9464965
98,4,2,0.73163813
122,9,5,0.51685417
136,2,6,0.6867625
145,6,2,0.53692406
147,6,3,0.93847525
150,4,6,0.44446066
151,4,6,0.575066
153,4,3,0.6876398
155,0,6,0.9215012
162,3,6,0.63351595
170,0,6,0.5185632
197,3,4,0.48101157
204,2,3,0.8923713
217,6,4,0.5654518
244,6,2,0.8922837
247,4,2,0.39632452
261,4,6,0.5265282
271,3,6,0.44046476
279,4,2,0.49700233
284,0,6,0.52228564
285,6,2,0.68259764
314,2,8,0.7564372
316,9,7,0.9832003
325,6,2,0.65595907
332,0,2,0.32366627
378,4,3,0.6224295
381,0,6,0.60254234
395,0,6,0.8907633
396,4,6,0.5675552
410,0,6,0.60182047
413,2,6,0.54334515
425,4,6,0.8540407
431,2,6,0.6013038
437,6,4,0.5287079
441,9,7,0.92713004
444,6,4,0.5048141
451,3,1,0.6689475
454,0,2,0.6630842
459,6,4,0.914474
460,3,0,0.7084625
466,3,6,0.45509896
476,4,3,0.50668514
478,2,6,0.5592255
490,3,6,0.74299055
491,4,6,0.47843572
499,0,3,0.30461043
500,2,6,0.41593727
510,4,8,0.41143358
511,2,4,0.4377445
529,8,2,0.38956213
558,4,6,0.4924156
569,3,6,0.90439427
578,3,6,0.6927631
579,8,4,0.42677024
585,4,2,0.69438607
595,6,2,0.42532137
600,2,6,0.7929667
607,3,6,0.64073956
615,7,5,0.5222306
616,0,6,0.44059083
623,9,7,0.83853745
628,6,2,0.53028405
632,2,8,0.69132876
634,6,4,0.6446975
635,8,5,0.7034371
639,4,2,0.9118683
642,8,5,0.62706363
661,3,8,0.6541358
674,0,3,0.64122033
681,0,6,0.7721068
686,2,4,0.501405
688,3,6,0.93554676
689,4,2,0.5950552
702,4,6,0.55130327
705,7,9,0.5131897
715,2,6,0.6647252
719,0,8,0.48492125
722,5,7,0.63852257
724,6,2,0.6093055
726,6,4,0.72918636
731,0,6,0.5471241
732,2,0,0.5236602
743,1,0,0.4684138
752,7,5,0.71435505
753,3,6,0.5816322
760,2,6,0.6317219
781,2,6,0.54032975
787,1,3,0.9972723
801,4,8,0.54212105
830,4,6,0.5836101
875,4,6,0.5123956
881,0,6,0.49037346
885,6,4,0.5148981
893,2,4,0.49507996
905,4,2,0.6386595
909,6,2,0.2738011
916,0,3,0.6647635
921,6,4,0.76658314
937,0,6,0.68416464
954,0,6,0.570756
958,5,9,0.75243586
960,3,2,0.7450793
963,6,4,0.7061103
965,0,6,0.6378173
967,4,3,0.78284365
971,6,3,0.42949685
976,2,4,0.5329674
977,6,0,0.70926553
979,3,0,0.7453508
984,3,4,0.31462726
994,4,6,0.3949903
1000,0,6,0.9703516
1005,0,3,0.44075784
1019,7,5,0.5760834
1025,6,4,0.9188361
1043,3,0,0.4018188
1058,6,2,0.55582356
1077,4,8,0.3094136
1104,4,6,0.9107586
1111,0,3,0.99424535
1125,4,3,0.36889395
1129,6,3,0.4687192
1139,0,6,0.43679652
1140,3,6,0.36073273
1142,4,6,0.3530399
1158,0,6,0.71483904
1162,6,4,0.89563876
1174,6,4,0.58391005
1185,4,6,0.7456623
1191,2,4,0.43771073
1194,2,6,0.89480317
1196,7,5,0.599767
1197,6,4,0.55468386
1205,0,2,0.4483979
1210,6,0,0.72122395
1218,0,3,0.56302553
1223,4,6,0.46484745
1231,0,6,0.8206811
1249,0,6,0.90094715
1253,6,4,0.47066212
