class,precision,recall,f1_score,support
T-shirt/top,0.8709677419354839,0.756,0.8094218415417559,1000
Trouser,0.9652432969215492,0.972,0.968609865470852,1000
Pullover,0.8088088088088088,0.808,0.8084042021010506,1000
Dress,0.8667377398720683,0.813,0.8390092879256966,1000
Coat,0.8027426160337553,0.761,0.7813141683778234,1000
Sandal,0.9562563580874873,0.94,0.9480584972264247,1000
Shirt,0.6026711185308848,0.722,0.6569608735213831,1000
Sneaker,0.916023166023166,0.949,0.9322200392927309,1000
Bag,0.9385206532180596,0.977,0.9573738363547281,1000
Ankle boot,0.9633401221995926,0.946,0.9545913218970736,1000
